event_id,event_name,group_name,venue_name,city,attendance,category,capacity,cost_estimate_inr
1000,CleanTech & Renewable Energy Startups - San Francisco Edition,San Francisco Alliance SF,San Francisco Eco Center,San Francisco,114,Sustainability,125,474240
1001,CleanTech & Renewable Energy Startups,Singapore Alliance SF,Singapore Eco Center,Singapore,107,Sustainability,117,342400
1002,B2B SaaS Growth & SEO Strategies,Sydney Marketers Guild,Sydney Times Square,Sydney,94,Marketing & Growth,122,278240
1003,Healthcare Startups Pitch Night - Berlin Edition,Berlin HealthTech,Berlin Seminar Hall,Berlin,175,Healthcare,210,532000
1004,Telehealth Regulatory Standards,London Health Innovators,London Conference Hall,London,60,Healthcare,72,264000
1005,B2B SaaS Growth & SEO Strategies,Bangalore Marketers Guild,Bangalore Times Square,Bangalore,102,Marketing & Growth,122,236640
1006,Open Banking & API Security - Sydney Edition,Sydney Fintech Circle,Sydney Wharf Tech Center,Sydney,112,Finance & Fintech,123,448000
1007,EdTech Platforms & the Future of Classrooms,Bangalore Innovators NY,Bangalore University Hall,Bangalore,89,Education,106,249200
1008,Open Banking & API Security,London Fintech Circle,London Wharf Tech Center,London,125,Finance & Fintech,137,490000
1009,AI Applications in Medical Imaging - Singapore Edition,Singapore Collective,Singapore Med Center,Singapore,99,Healthcare,128,538560
1010,Digital Health & Patient Care Innovation,Mumbai Tech Network,Mumbai Innovation Lab,Mumbai,58,Healthcare,63,171680
1011,Influencer Marketing Campaigns at Scale,Mumbai Digital Marketers,Mumbai Hills Event Hall,Mumbai,129,Marketing & Growth,167,526320
1012,Machine Learning for Fraud Detection - Chicago Edition,Chicago Quantitative Traders,Chicago District Suite,Chicago,103,Finance & Fintech,133,354320
1013,AI-Driven Content Personalization,Tokyo Marketing London,Tokyo Creative Studio,Tokyo,76,Marketing & Growth,83,218880
1014,Next-Gen Biotech Research,Chicago Biotech Network,Chicago College Auditoria,Chicago,92,Healthcare,119,471040
1015,Zero-Budget Product Launch Tactics - Bangalore Edition,Bangalore Startups & Marketing,Bangalore Club,Bangalore,205,Marketing & Growth,266,770800
1016,EdTech Platforms & the Future of Classrooms,Mumbai Innovators NY,Mumbai University Hall,Mumbai,88,Education,96,359040
1017,Circular Economy & Waste Reduction,Bangalore Sustainability Forum,Bangalore EcoHub,Bangalore,72,Sustainability,93,161280
1018,Circular Economy & Waste Reduction - Singapore Edition,Singapore Sustainability Forum,Singapore EcoHub,Singapore,76,Sustainability,98,224960
1019,Conversion Rate Optimization (CRO),Mumbai Growth Hackers,Mumbai Innovation Hub,Mumbai,59,Marketing & Growth,76,165200
1020,Cloud Native & Serverless Meetup,Berlin Cloud Engineers,Berlin Mart Suite,Berlin,122,AI & Technology,146,556320
1021,Healthcare Startups Pitch Night - Bangalore Edition,Bangalore HealthTech,Bangalore Seminar Hall,Bangalore,193,Healthcare,212,772000
1022,Online Course Design & Gamification,London EdTech Developers,London Studio,London,72,Education,86,201600
1023,B2B SaaS Growth & SEO Strategies,Berlin Marketers Guild,Berlin Times Square,Berlin,80,Marketing & Growth,88,243200
1024,AI Applications in Medical Imaging - Sydney Edition,Sydney Collective,Sydney Med Center,Sydney,92,Healthcare,119,404800
1025,Circular Economy & Waste Reduction,Berlin Sustainability Forum,Berlin EcoHub,Berlin,75,Sustainability,97,192000
1026,Next-Gen Biotech Research,Berlin Biotech Network,Berlin College Auditoria,Berlin,78,Healthcare,93,299520
1027,Design Systems for Enterprise Apps - Berlin Edition,Berlin Product Designers,Berlin Studio SF,Berlin,75,Product & Design,90,252000
1028,Generative AI in Production,London Tech & ML Forum,London Tech Hub,London,117,AI & Technology,140,327600
1029,Design Systems for Enterprise Apps,London Product Designers,London Studio SF,London,83,Product & Design,107,192560
1030,CleanTech & Renewable Energy Startups - Singapore Edition,Singapore Alliance SF,Singapore Eco Center,Singapore,117,Sustainability,140,430560
1031,EdTech Platforms & the Future of Classrooms,Tokyo Innovators NY,Tokyo University Hall,Tokyo,49,Education,58,145040
